study_accession	study_title	sample_title	experiment_title	library_name	cell_line	cell_type	omics
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) female Heart	Cricetulus.griseus.3069sTS.Female1.Heart			RNA-seq
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: RNAseq from Cricetulus griseus (Hamster) female Brain	Cricetulus.griseus.3067sTS.Female1.Brain			RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	11X-Rituximab-Day4_rep1	NextSeq 500 sequencing: GSM4292498: 11X-Rituximab-Day4_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	11X-Rituximab-Day4_rep2	NextSeq 500 sequencing: GSM4292501: 11X-Rituximab-Day4_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	11X-Rituximab-Day6_rep1	NextSeq 500 sequencing: GSM4292499: 11X-Rituximab-Day6_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	11X-Rituximab-Day6_rep2	NextSeq 500 sequencing: GSM4292502: 11X-Rituximab-Day6_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	11X-Rituximab-Day8_rep1	NextSeq 500 sequencing: GSM4292500: 11X-Rituximab-Day8_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	11X-Rituximab-Day8_rep2	NextSeq 500 sequencing: GSM4292503: 11X-Rituximab-Day8_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	6X-Rituximab-Day4_rep1	NextSeq 500 sequencing: GSM4292492: 6X-Rituximab-Day4_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	6X-Rituximab-Day4_rep2	NextSeq 500 sequencing: GSM4292495: 6X-Rituximab-Day4_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	6X-Rituximab-Day6_rep1	NextSeq 500 sequencing: GSM4292493: 6X-Rituximab-Day6_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	6X-Rituximab-Day6_rep2	NextSeq 500 sequencing: GSM4292496: 6X-Rituximab-Day6_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	6X-Rituximab-Day8_rep1	NextSeq 500 sequencing: GSM4292494: 6X-Rituximab-Day8_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	6X-Rituximab-Day8_rep2	NextSeq 500 sequencing: GSM4292497: 6X-Rituximab-Day8_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	WT-Rituximab-Day4_rep1	NextSeq 500 sequencing: GSM4292486: WT-Rituximab-Day4_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	WT-Rituximab-Day4_rep2	NextSeq 500 sequencing: GSM4292489: WT-Rituximab-Day4_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	WT-Rituximab-Day6_rep1	NextSeq 500 sequencing: GSM4292487: WT-Rituximab-Day6_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	WT-Rituximab-Day6_rep2	NextSeq 500 sequencing: GSM4292490: WT-Rituximab-Day6_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	WT-Rituximab-Day8_rep1	NextSeq 500 sequencing: GSM4292488: WT-Rituximab-Day8_rep1 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	WT-Rituximab-Day8_rep2	NextSeq 500 sequencing: GSM4292491: WT-Rituximab-Day8_rep2 Cricetulus griseus RNA-Seq				RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	Below background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Minus rep 1			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	Below background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Minus rep 2			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	Below background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Minus rep 3			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	KCl background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Plus rep 3			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	KCl background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Plus rep 1			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	KCl background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Plus rep 2			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	Surface background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Surface rep 3			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	Surface background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Surface rep 2			RNA-seq
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	Surface background	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	Surface rep 1			RNA-seq
PRJNA763926	Murine mast cell and mastocytoma transcriptome	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 4000 sequencing: RNA-Seq of Cricetulus griseus:ovary cells	S3	ChA27		RNA-seq
PRJNA763926	Murine mast cell and mastocytoma transcriptome	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 4000 sequencing: RNA-Seq of Cricetulus griseus:ovary cells	S2	ChA27		RNA-seq
PRJNA763926	Murine mast cell and mastocytoma transcriptome	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 4000 sequencing: RNA-Seq of Cricetulus griseus:ovary cells	S1	ChA27		RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	Chinese hamster control	Illumina NovaSeq 6000 sequencing: GSM6034610: Chinese hamster control Cricetulus griseus RNA-Seq	GSM6034610			RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	Chinese hamster oxidation	Illumina NovaSeq 6000 sequencing: GSM6034611: Chinese hamster oxidation Cricetulus griseus RNA-Seq	GSM6034611			RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	RNAseq Chinese hamster 1	Illumina NovaSeq 6000 sequencing: GSM6034634: RNAseq Chinese hamster 1 Cricetulus griseus RNA-Seq	GSM6034634			RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	RNAseq Chinese hamster 2	Illumina NovaSeq 6000 sequencing: GSM6034635: RNAseq Chinese hamster 2 Cricetulus griseus RNA-Seq	GSM6034635			RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	RNAseq Chinese hamster 3	Illumina NovaSeq 6000 sequencing: GSM6034636: RNAseq Chinese hamster 3 Cricetulus griseus RNA-Seq	GSM6034636			RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	RNAseq Chinese hamster 4	Illumina NovaSeq 6000 sequencing: GSM6034637: RNAseq Chinese hamster 4 Cricetulus griseus RNA-Seq	GSM6034637			RNA-seq
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	RNAseq Chinese hamster 5	Illumina NovaSeq 6000 sequencing: GSM6034638: RNAseq Chinese hamster 5 Cricetulus griseus RNA-Seq	GSM6034638			RNA-seq
PRJNA882483	De novo emergence, existence, and demise of a protein-coding gene in murids [chinese hamster]	s_GV_WT_ChHam_r1.PE	Illumina HiSeq 2000 sequencing: GSM6594842: s_GV_WT_ChHam_r1.PE Cricetulus griseus RNA-Seq	GSM6594842			RNA-seq
PRJNA882483	De novo emergence, existence, and demise of a protein-coding gene in murids [chinese hamster]	s_GV_WT_ChHam_r2.PE	Illumina HiSeq 2000 sequencing: GSM6594843: s_GV_WT_ChHam_r2.PE Cricetulus griseus RNA-Seq	GSM6594843			RNA-seq
